60.26.94.80 - - [05/Jun/2021:06:25:12 +0000] "GET /aboutus.php HTTP/1.1" 404 0 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.2)"
40.77.167.105 - - [05/Jun/2021:06:25:13 +0000] "GET /java/compare-two-text-file-in-java/ HTTP/2.0" 200 35997 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.167.73 - - [05/Jun/2021:06:25:13 +0000] "GET /csharp/serialize-object-to-json-in-asp-net/ HTTP/2.0" 200 35560 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
5.156.22.220 - - [05/Jun/2021:06:25:14 +0000] "POST /xmlrpc.php HTTP/1.1" 499 0 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0)"
206.189.143.98 - - [05/Jun/2021:06:25:15 +0000] "GET / HTTP/1.1" 499 0 "https://health18.in/" "WordPress"
192.99.101.79 - - [05/Jun/2021:06:25:17 +0000] "GET /health/?tag=/cashew HTTP/1.1" 200 28757 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
180.188.250.151 - - [05/Jun/2021:06:25:18 +0000] "GET /wp-content/uploads/2018/07/cystone-tablets-150x150.jpg HTTP/2.0" 200 5567 "https://ayurhindi.in/godanti-bhasma/" "Mozilla/5.0 (Linux; Android 9; SM-M405F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.210 Mobile Safari/537.36"
192.0.96.186 - - [05/Jun/2021:06:25:18 +0000] "GET /health/image.axd HTTP/1.1" 499 0 "-" "Photon/1.0"
47.8.19.57 - - [05/Jun/2021:06:25:19 +0000] "GET / HTTP/2.0" 200 57792 "https://www.bimbim.in/superpwa-sw.js" "Mozilla/5.0 (Linux; Android 7.0; vivo 1714) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36"
64.119.22.26 - - [05/Jun/2021:06:25:20 +0000] "POST /wp-login.php HTTP/1.1" 200 2443 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36"
206.189.143.98 - - [05/Jun/2021:06:25:20 +0000] "GET /terms-of-use/ HTTP/1.1" 499 0 "https://health18.in/terms-of-use/" "WordPress"
49.36.243.149 - - [05/Jun/2021:06:25:22 +0000] "GET / HTTP/2.0" 304 0 "https://www.bimbim.in/superpwa-sw.js" "Mozilla/5.0 (Linux; Android 11; SM-M307F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36"
106.217.168.41 - - [05/Jun/2021:06:25:22 +0000] "GET /superpwa-sw.js HTTP/2.0" 304 0 "https://www.bimbim.in/medicine/paurush-jiwan/2953" "Mozilla/5.0 (Linux; Android 4.4.4; SM-G530H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Mobile Safari/537.36"
60.26.94.80 - - [05/Jun/2021:06:25:22 +0000] "GET /aboutus.jsp HTTP/1.1" 499 0 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.2)"
157.55.39.38 - - [05/Jun/2021:06:25:23 +0000] "GET /java/java-serialization-using-serializable-interface/ HTTP/2.0" 200 36161 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.68.24 - - [05/Jun/2021:06:25:24 +0000] "GET /health-tips/sugar-free-gold-and-sugar-free-natura-zydus-cadila/357/?amp HTTP/1.1" 200 14924 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.97 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
213.177.215.148 - - [05/Jun/2021:06:25:24 +0000] "POST /wp-login.php HTTP/1.1" 200 2442 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
206.189.143.98 - - [05/Jun/2021:06:25:25 +0000] "GET /privacy-policy/ HTTP/1.1" 499 0 "https://health18.in/privacy-policy/" "WordPress"
47.8.19.57 - - [05/Jun/2021:06:25:25 +0000] "GET / HTTP/2.0" 304 0 "https://www.bimbim.in/superpwa-sw.js" "Mozilla/5.0 (Linux; Android 7.0; vivo 1714) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36"
